Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"19,026,000 EGP",151,2,1 bathroom,3,2028,Broker,Sea View,Cash or Installments,The View Residence,View,19026000,126000
"10,350,000 EGP",115,1,1 bathroom,,2028,Broker,Pool,Cash or Installments,The View Residence,View,10350000,90000
"9,500,000 EGP",260,4,3 bathroom,7,2018,Broker,Main Street,Cash,مدينة نصر في,فيو,9500000,36538.46
"4,489,000 EGP",134,3,2 bathroom,2,2027,Broker,Main Street,Installments,كمبوند فيرال زهراء,تقسيط,4489000,33500
"34,650,000 EGP",317,3,2 bathroom,3,2028,Broker,Sea View,Cash or Installments,The View Residence,View,34650000,109305.99
"20,538,000 EGP",163,2,1 bathroom,2,2028,Broker,Sea View,Cash or Installments,The View Residence,View,20538000,126000
"9,250,000 EGP",178,3,3 bathroom,7,2025,Developer,Main Street,Installments,Unknown,Basic,9250000,51966.29
"9,680,000 EGP",176,3,1 bathroom,13,2027,Broker,Plaza,Cash or Installments,Muruj,Basic,9680000,55000
"6,250,000 EGP",190,3,3 bathroom,1,2025,Broker,Main Street,Cash,Unknown,Basic,6250000,32894.74
"8,000,000 EGP",200,3,2 bathroom,2,2024,Broker,Other,Cash,Al Banafseg 3,Basic,8000000,40000
"8,000,000 EGP",144,2,2 bathroom,2,2020,Broker,Main Street,Cash or Installments,ليك فيو ريزيدنس,فيو,8000000,55555.56
"4,500,000 EGP",250,4,2 bathroom,2,2026,Developer,Corner,Cash or Installments,Bait El Watan,Basic,4500000,18000
"3,573,000 EGP",167,3,2 bathroom,2,2027,Broker,Lake,Cash or Installments,كمبوند وعد,Basic,3573000,21395.21
"13,600,000 EGP",120,2,2 bathroom,2,2025,Broker,Plaza,Cash or Installments,Wondermark Compound,Finished,13600000,113333.33
"10,786,769 EGP",133,2,1 bathroom,4,2025,Broker,Sea View,Installments,منتجع سكانديك,Basic,10786769,81103.53
"4,820,000 EGP",220,3,3 bathroom,3,2025,Broker,Other,Cash,Beit El Watan,View,4820000,21909.09
"7,000,000 EGP",240,3,2 bathroom,2,2025,Broker,Main Street,Cash,6Th Tourist Area,Basic,7000000,29166.67
"5,000,000 EGP",89,2,2 bathroom,3,2025,Broker,Garden,Cash,Unknown,Basic,5000000,56179.78
"7,000,000 EGP",240,3,3 bathroom,3,2025,Broker,Main Street,Cash,Zayed Heights Compound,Basic,7000000,29166.67
"11,900,000 EGP",130,2,3 bathroom,1,2037,Broker,Garden,Cash or Installments,Unknown,"Finished, Installment",11900000,91538.46
"2,850,000 EGP",122,3,1 bathroom,2,2024,Developer,Main Street,Cash or Installments,Jasmine Gardens Compound,"Garden, Finished",2850000,23360.66
"6,900,000 EGP",128,2,2 bathroom,3,2025,Broker,Lake,Cash,El Patio Oro,"View, Pool",6900000,53906.25
"17,150,000 EGP",243,3,4 bathroom,1,2026,Broker,Garden,Cash or Installments,Swan Lake Residence,"View, Finished, Installment",17150000,70576.13
"10,000,000 EGP",127,2,2 bathroom,3,2026,Broker,Main Street,Installments,Iris,Basic,10000000,78740.16
"6,294,876 EGP",127,1,1 bathroom,,2026,Broker,Garden,Cash or Installments,Unknown,Basic,6294876,49565.95
"5,351,622 EGP",78,1,1 bathroom,,2026,Broker,Garden,Cash or Installments,Unknown,Basic,5351622,68610.54
"6,068,322 EGP",110,1,1 bathroom,2,2026,Broker,Garden,Cash or Installments,Unknown,Basic,6068322,55166.56
